;assessment_name;assessment_id
0;Miniensayo 1;686e87251c9a8abb570fdc96
1;Miniensayo 2;687025ebe9564bd195026706
2;Miniensayo 3;68713b8106a8c3e3640855d6
3;Miniensayo 4;687536ebb8f701701b0d0a86
4;Miniensayo 5;6876aadb5e67776d49076766
5;Miniensayo 6;687a60bf2378febfb2039c2a
6;Miniensayo 7;687e6d4124ae9d46160a7ff6
7;Miniensayo 8;6880f41dee6bea1a93014b5b
8;Miniensayo 9;688155adf86b209ee1097ab6
9;Miniensayo 10;68815b1f2647cdd9be0a8286
10;Miniensayo 11;68815b2bda9c01305002bea6
11;Miniensayo 12;68815f0b3bb2bdf4bd04f8f6
12;Guía acumulativa 1;687e411055b4dab78b048956
13;Guía acumulativa 2;687e45a1991f4cc23d0a5729
14;Guía acumulativa 3;687f94e26afb073c450eee06
15;Guía acumulativa 4;687f94ee35acb840620ebcb6
16;Guía acumulativa 5;6880f133c5661d867d0a96d6
17;Guía acumulativa 6;6880f14016267e55f50e6c49
18;Guía acumulativa 7;6881076f1e4d641466083f06
19;Guía acumulativa 8;6881079f441939d2f50b3ae6
